Link,Size (KB),# of Outlinks,Content Type
https://www.foxnews.com/,601.7158203125,747,text/html
https://www.foxnews.com/category/us/true-crime,220.205078125,506,text/html
https://www.foxnews.com/media/harvard-professor-all-hell-broke-loose-study-found-no-racial-bias-police-shootings,215.8583984375,323,text/html
https://www.foxnews.com/category/us/immigration,116.1337890625,360,text/html
https://www.foxnews.com/sports/text-shows-patrick-mahomes-confidence-level-ahead-of-big-game-i-decided-we-are-going-to-win-the-super-bowl,213.18359375,326,text/html
https://www.foxnews.com/politics/doj-reviewing-biden-hur-interview-id-potential-classified-information-response-house-gop-demands,218.2705078125,334,text/html
https://www.foxnews.com/category/us/personal-freedoms,103.935546875,339,text/html
https://www.foxnews.com/category/us/economy,102.3408203125,339,text/html
https://www.foxnews.com/category/us/crime,115.9521484375,355,text/html
https://www.foxnews.com/video/5614615980001,58.5771484375,75,text/html
https://www.foxnews.com/category/us/military,104.0126953125,339,text/html
https://www.foxnews.com/category/us/education,103.400390625,339,text/html
https://www.foxnews.com/category/us/terror,103.84765625,339,text/html
https://www.foxnews.com/category/tech/artificial-intelligence,185.478515625,458,text/html
https://www.foxnews.com/video,517.587890625,370,text/html
https://www.foxnews.com/lifestyle,313.4853515625,564,text/html
https://www.foxnews.com/opinion,236.8232421875,410,text/html
https://www.foxnews.com/sports,227.3134765625,410,text/html
https://www.foxnews.com/entertainment,252.783203125,446,text/html
https://www.foxnews.com/world,222.541015625,408,text/html
https://www.foxnews.com/politics,244.1201171875,426,text/html
https://www.foxnews.com/media,358.2080078125,564,text/html
https://www.foxnews.com/us,279.0810546875,499,text/html
https://www.foxnews.com/books,34.6162109375,94,text/html
https://www.foxnews.com/category/entertainment/style,103.751953125,339,text/html
https://www.foxnews.com/category/entertainment/music,103.7373046875,339,text/html
https://www.foxnews.com/category/entertainment/tv,103.8466796875,339,text/html
https://www.foxnews.com/category/entertainment/movies,103.978515625,339,text/html
https://www.foxnews.com/category/entertainment/celebrity-news,118.564453125,360,text/html
https://www.foxnews.com/shows/fox-nation,185.1279296875,367,text/html
https://www.foxnews.com/category/world/scandals,103.94921875,339,text/html
https://www.foxnews.com/category/world/religion,103.447265625,339,text/html
https://www.foxnews.com/story/where-in-the-world-is-fox,320.5537109375,310,text/html
https://www.foxnews.com/opinion/boxing-volleyball-make-surprise-choices-they-think-best-female-athletes,218.955078125,324,text/html
https://www.foxnews.com/compliance,158.970703125,307,text/html
https://www.foxnews.com/about,153.44921875,298,text/html
https://www.foxnews.com/politics/biden-navalnys-death-no-doubt-putin-thugs-behind,221.0283203125,328,text/html
https://www.foxnews.com/politics/biden-calls-for-an-end-to-impeachment-inquiry-after-indictment-fbi-informant-outrageous-effort,234.669921875,330,text/html
https://www.foxnews.com/politics/tony-bobulinski-attorney-accuses-oversight-dems-gaslighting-false-smears-hunter-biden-associate,239.85546875,332,text/html
https://www.foxnews.com/politics/fbi-informant-charged-giving-false-information-hunter-biden-2020,248.21875,332,text/html
https://www.foxnews.com/politics/house-democrats-unveil-immigration-border-reform-plan-crisis-pivotal-election-issue,222.80859375,330,text/html
https://www.foxnews.com/politics/judiciary-chair-jim-jordan-does-victory-lap-massive-banks-exit-68-trillion-un-climate-alliance,246.4248046875,339,text/html
https://www.foxnews.com/world/top-diplomats-us-china-hold-constructive-talks-issues-dividing,192.8310546875,318,text/html
https://www.foxnews.com/media/former-hunter-biden-biz-partner-offered-critical-testimony-comer-joe-biden-brand,209.6884765625,328,text/html
https://www.foxnews.com/world/online-influencers-lead-thousands-demanding-change-hungary-following-presidents-resignation,203.802734375,318,text/html
https://www.foxnews.com/world/court-overturns-senegalese-presidential-election-delay,199.6328125,318,text/html
https://www.foxnews.com/world/putin-critic-alexei-navalny-dead-47-russian-officials-say,226.8388671875,321,text/html
https://www.foxnews.com/politics/fox-news-politics-trump-vows-appeal,201.6064453125,333,text/html
https://www.foxnews.com/world/authorities-accidentally-discover-submarine-containing-4-tons-cocaine-searching-missing-fisherman,211.1474609375,320,text/html
https://www.foxnews.com/us/fox-news-true-crime-newsletter-brian-laundrie-father-slammed-gabby-petito-civil-suit,206.6845703125,328,text/html
https://www.foxnews.com/world/imprisoned-former-pakistani-premier-khan-appeals-3-recent-convictions,197.42578125,318,text/html
https://www.foxnews.com/category/person/jim-jordan,104.3828125,339,text/html
https://www.foxnews.com/entertainment/prince-harry-king-charles-cancer-reunify-royals,236.6435546875,344,text/html
https://www.foxnews.com/entertainment/mark-wahlberg-fought-through-injury-first-day-most-physically-demanding-role-life,239.27734375,350,text/html
https://www.foxnews.com/entertainment/taylor-swift-travis-kelce-accidentally-party-vegas-club-pop-stars-parents-following-super-bowl-win,237.9931640625,349,text/html
https://www.foxnews.com/entertainment/sopranos-star-james-gandolfini-swam-ocean-drinking-troubled-actor-battled-demons,260.7314453125,345,text/html
https://www.foxnews.com/entertainment/taylor-swift-skips-super-bowl-parade-eras-tour-resume-australia,236.6181640625,341,text/html
https://www.foxnews.com/entertainment/king-charles-returns-london-queen-camilla-expected-continue-cancer-treatment,242.3955078125,344,text/html
https://www.foxnews.com/category/auto/nascar,102.1591796875,339,text/html
https://www.foxnews.com/category/sports/pro-wrestling,105.1396484375,339,text/html
https://www.foxnews.com/sports/raiders-jimmy-garoppolo-hit-two-game-suspension-violating-nfls-ped-policy-report,212.1240234375,322,text/html
https://www.foxnews.com/sports/chiefs-heiress-gracie-hunt-faces-backlash-sharing-out-of-touch-photos-following-parade-shooting,213.4453125,326,text/html
https://www.foxnews.com/sports/former-pac-12-star-defends-dismantling-conference-realignment-its-time,214.1552734375,328,text/html
https://www.foxnews.com/politics/anti-gun-activists-use-ai-recreate-voices-mass-shooting-victims-taunt-lawmakers-robocalls,229.5185546875,329,text/html
https://www.foxnews.com/sports/lsu-running-back-trey-holly-custody-attempted-murder-charge,208.3544921875,323,text/html
https://www.foxnews.com/opinion/most-destructive-epa-program-youve-never-heard,213.712890625,323,text/html
https://www.foxnews.com/opinion/biden-must-more-stop-flood-chinas-vapes-victimizing-kids,210.1826171875,322,text/html
https://www.foxnews.com/media/sean-hannity-biden-trump-border-policies-in-place-stroke-pen,193.69140625,319,text/html
https://www.foxnews.com/opinion/americas-kids-lgbt-failing,221.40625,324,text/html
https://www.foxnews.com/opinion/greg-gutfeld-imagine-how-easy-fun-would-be-president-kamala-harris,218.8115234375,325,text/html
https://www.foxnews.com/media/la-private-school-forced-close-over-intrusions-homeless-drug-users-indecent-exposure-hotel,222.318359375,327,text/html
https://www.foxnews.com/media/couples-married-50-years-share-secrets-long-lasting-love,227.8447265625,326,text/html
https://www.foxnews.com/media/valentines-day-doesnt-reflect-popularity-non-monogamy-according-adulterers-ashley-madison,214.02734375,323,text/html
https://www.foxnews.com/media/11-13-independent-voters-choose-narcissist-trump-over-unfit-biden-ny-times-focus-group,223.521484375,325,text/html
https://www.foxnews.com/media/frustrated-cnn-host-threatens-cut-heated-interview-border-security-gop-lawmaker-may-speak,209.1416015625,320,text/html
https://www.foxnews.com/media/schumer-dismisses-concern-bidens-mental-acuity-right-wing-propaganda,213.181640625,321,text/html
https://www.foxnews.com/media/dr-nicole-saphiers-love-mom-celebrates-motherhood-latest-title-fox-news-books,212.693359375,324,text/html
https://www.foxnews.com/media/marjorie-taylor-greene-goes-curb-your-enthusiasm-mocking-georgians-disgusting,206.9892578125,324,text/html
https://www.foxnews.com/media/president-biden-should-more-engaged-with-press-political-expert-warns-constantly-acting-indignant,215.4443359375,323,text/html
https://www.foxnews.com/person/n/greg-norman,112.34375,352,text/html
https://www.foxnews.com/video/6346938353112,63.1259765625,79,text/html
https://www.foxnews.com/media/famous-london-theater-bans-comedian-leading-chant-jewish-attendees-no-place-our-stages,208.75,322,text/html
https://www.foxnews.com/media/photos-prince-harry-seen-stepping-off-private-plane-canada-rhetoric-climate-change,216.9677734375,327,text/html
https://www.foxnews.com/politics/hunter-biden-business-associate-text-messages-joe-biden-meeting,226.6298828125,333,text/html
https://www.foxnews.com/media/lawmakers-politicians-battle-online-social-media-firestorm-mayorkas-impeachment-absurd,212.8740234375,321,text/html
https://www.foxnews.com/politics/joe-biden-big-guy-tony-bobulinski-said-during-unshakeable-testimony-amid-impeachment-inquiry,238.755859375,330,text/html
https://www.foxnews.com/politics/bobulinski-offered-testify-hunter-biden-grand-jury-never-heard-back-source,234.5986328125,330,text/html
https://www.foxnews.com/politics/joe-biden-enabled-hunter-sell-access-dangerous-adversaries-bobulinski-testifies,243.1923828125,329,text/html
https://www.foxnews.com/media/valentines-day-doesnt-reflect-popularity-non-monogamy-according-adulterers-ashley-madison.print,121.7431640625,85,text/html
https://www.foxnews.com/media/couples-married-50-years-share-secrets-long-lasting-love.print,126.69140625,87,text/html
https://www.foxnews.com/entertainment/mark-wahlberg-weighs-ozempic-stresses-importance-healthy-lifestyle,277.0830078125,357,text/html
https://www.foxnews.com/sports/nascar-star-tyler-reddick-elaborates-bet-wife-choose-sons-name,208.69921875,324,text/html
https://www.foxnews.com/sports/nascar-legend-jimmie-johnson-talks-emotions-in-laws-killed-apparent-murder-suicide,211.49609375,325,text/html
https://www.foxnews.com/sports/michael-jordan-gifted-nascar-star-denny-hamlins-dad-cigar-important-message,208.7353515625,322,text/html
https://www.foxnews.com/sports/gianna-tulio-ryan-blaneys-fiancee-recalls-nascar-champs-massive-daytona-wreck,209.765625,322,text/html
https://www.foxnews.com/sports/chiefs-heiress-gracie-hunt-faces-backlash-sharing-out-of-touch-photos-following-parade-shooting.print,117.953125,85,text/html
https://www.foxnews.com/sports/josh-williams-ready-make-statement-daytona-kaulig-racing,224.5625,323,text/html
https://www.foxnews.com/sports/joey-logano-ty-gibbs-get-heated-confrontation-clash-at-the-coliseum-race,207.5517578125,322,text/html
https://www.foxnews.com/sports/nascar-star-corey-lajoie-talks-wild-experience-racing-daytona-500,212.9521484375,325,text/html
https://www.foxnews.com/opinion/biden-must-more-stop-flood-chinas-vapes-victimizing-kids.print,113.2744140625,84,text/html
https://www.foxnews.com/sports/nascars-corey-lajoie-partners-chilis-daytona-500-reveals-go-to-order,212.5517578125,322,text/html
https://www.foxnews.com/opinion/most-destructive-epa-program-youve-never-heard.print,115.822265625,85,text/html
https://www.foxnews.com/media/la-private-school-forced-close-over-intrusions-homeless-drug-users-indecent-exposure-hotel.print,123.3349609375,86,text/html
https://www.foxnews.com/world/authorities-accidentally-discover-submarine-containing-4-tons-cocaine-searching-missing-fisherman.print,117.716796875,82,text/html
https://www.foxnews.com/sports/raiders-jimmy-garoppolo-hit-two-game-suspension-violating-nfls-ped-policy-report.print,117.861328125,84,text/html
https://www.foxnews.com/opinion/greg-gutfeld-imagine-how-easy-fun-would-be-president-kamala-harris.print,119.6083984375,87,text/html
https://www.foxnews.com/entertainment/king-charles-returns-london-queen-camilla-expected-continue-cancer-treatment.print,138.978515625,87,text/html
https://www.foxnews.com/sports/ex-wwe-star-davey-boy-smith-jr-reveals-reaction-vince-mcmahon-allegations,206.123046875,325,text/html
https://www.foxnews.com/sports/davey-boy-smith-jr-make-major-league-wrestling-return-serious-health-issues,213.3486328125,325,text/html
https://www.foxnews.com/sports/mlw-star-rickey-shane-page-touts-upcoming-opponent-jake-crist-one-best-wrestlers-world,206.19921875,325,text/html
https://www.foxnews.com/sports/mlw-star-rickey-shane-page-delighted-success-aew-stars-swerve-strickland-mjf,209.455078125,322,text/html
https://www.foxnews.com/media/former-wwe-superstar-describes-drastic-steps-transitioning-woman-alpha-males,235.705078125,328,text/html
https://www.foxnews.com/politics/biden-calls-for-an-end-to-impeachment-inquiry-after-indictment-fbi-informant-outrageous-effort.print,129.0556640625,84,text/html
https://www.foxnews.com/sports/the-rock-appears-fire-back-criticism-upcoming-roman-reigns-feud-tough-skin-love-passion,209.380859375,323,text/html
https://www.foxnews.com/sports/the-rock-inserting-himself-wwe-title-picture-feels-pretty-gross-seth-rollins-says,216.4248046875,323,text/html
https://www.foxnews.com/sports/49ers-george-kittle-offers-fun-special-way-book-wrestlemania-40-fan-outrage,211.603515625,322,text/html
https://www.foxnews.com/opinion/americas-kids-lgbt-failing.print,124.369140625,86,text/html
https://www.foxnews.com/sports/wwe-star-jade-cargill-recalls-royal-rumble-debut-wish-relive-again,207.7509765625,322,text/html
